elo_diff,fifa_diff,form_diff,gs_diff,gc_diff,mv_diff,inj_diff,susp_diff,home_adv,h2h_factor,target
0,0,0.0,0.0,0.0,570.0,3,0,1,0.5,2
0,0,0.0,0.0,0.0,-10.0,0,0,1,0.5,1
0,0,0.0,0.0,0.0,150.0,3,0,1,0.5,1
0,0,0.0,0.0,0.0,-380.0,0,0,1,0.5,2
0,0,0.0,0.0,0.0,520.0,2,0,1,0.5,2
0,0,0.0,0.0,0.0,-880.0,2,0,1,0.5,0
0,0,0.0,0.0,0.0,-40.0,0,0,1,0.5,2
0,0,0.0,0.0,0.0,520.0,1,0,1,0.5,1
0,0,0.0,0.0,0.0,-390.0,1,0,1,0.5,0
0,0,0.0,0.0,0.0,-120.0,3,0,1,0.5,2
0,0,-1.0,0.0,3.0,-490.0,-1,0,1,0.5,0
0,0,0.0,1.0,0.0,490.0,-5,0,1,0.5,0
0,0,0.0,2.0,0.0,-30.0,-2,0,1,0.5,2
0,0,-1.0,1.0,3.0,-230.0,1,0,1,0.5,2
0,0,-3.0,-3.0,3.0,170.0,1,0,1,0.5,2
0,0,0.0,0.0,0.0,900.0,-2,0,1,0.5,2
0,0,-2.0,-3.0,-1.0,60.0,-1,0,1,0.5,1
0,0,-1.0,-1.0,0.0,-150.0,-3,0,1,0.5,2
0,0,1.0,1.0,0.0,-390.0,-2,0,1,0.5,1
0,0,-2.0,-4.0,-2.0,-270.0,-1,0,1,0.5,0
0,0,1.0,1.5,-0.5,610.0,3,0,1,0.5,2
0,0,0.0,0.5,-0.5,-330.0,-1,0,1,0.5,2
0,0,-1.0,-0.5,-0.5,480.0,-1,0,1,0.5,2
0,0,1.5,1.0,-2.0,420.0,5,0,1,0.5,0
0,0,-1.5,-1.0,2.0,40.0,2,0,1,0.5,0
0,0,1.0,-0.5,1.0,-430.0,1,0,1,0.5,1
0,0,-1.0,-1.5,0.5,-770.0,3,0,1,0.5,2
0,0,2.0,1.5,-3.0,-90.0,1,0,1,0.5,0
0,0,0.0,0.5,2.0,-200.0,2,0,1,0.5,2
0,0,-0.5,-0.5,0.0,210.0,0,0,1,0.5,0
0,0,0.6666666666666667,0.6666666666666667,-1.3333333333333335,750.0,-2,0,1,0.5,2
0,0,0.6666666666666667,0.33333333333333326,0.0,-140.0,-3,0,1,0.5,2
0,0,-0.33333333333333326,-0.3333333333333335,-0.6666666666666667,350.0,0,0,1,0.5,1
0,0,1.6666666666666667,1.6666666666666667,-0.33333333333333326,-300.0,-2,0,1,0.5,1
0,0,-0.6666666666666666,0.3333333333333333,-0.3333333333333335,120.0,-3,0,1,0.5,2
0,0,0.6666666666666666,0.0,-1.6666666666666665,270.0,0,0,1,0.5,2
0,0,-1.0,-0.3333333333333335,2.333333333333333,-310.0,-3,0,1,0.5,0
0,0,-1.3333333333333335,-1.3333333333333335,1.3333333333333335,-540.0,0,0,1,0.5,1
0,0,-2.0,-1.3333333333333333,0.6666666666666667,-670.0,0,0,1,0.5,0
0,0,-0.33333333333333326,0.3333333333333335,0.0,530.0,-2,0,1,0.5,2
0,0,1.25,1.0,0.25,580.0,3,0,1,0.5,2
0,0,-1.25,-1.0,1.25,-280.0,-2,0,1,0.5,1
0,0,-0.25,0.0,-0.25,-120.0,0,0,1,0.5,1
0,0,-0.75,0.0,2.5,30.0,0,0,1,0.5,0
0,0,-1.0,0.25,0.75,160.0,-1,0,1,0.5,0
0,0,-1.0,-1.25,1.0,-220.0,-1,0,1,0.5,2
0,0,0.25,-0.5,-0.75,-70.0,-3,0,1,0.5,2
0,0,1.0,0.75,0.5,-300.0,-2,0,1,0.5,1
0,0,1.25,1.25,-0.25,-560.0,0,0,1,0.5,1
0,0,0.75,0.25,-0.75,-140.0,1,0,1,0.5,1
0,0,-0.5999999999999999,0.0,0.3999999999999999,-320.0,1,0,1,0.5,2
0,0,-1.2,-1.0000000000000002,-0.6,-490.0,-1,0,1,0.5,2
0,0,0.6000000000000001,0.8,-0.6000000000000001,460.0,0,0,1,0.5,0
0,0,-0.6000000000000001,-0.3999999999999999,0.3999999999999999,-130.0,3,0,1,0.5,1
0,0,0.5999999999999999,0.8,-0.6000000000000001,1010.0,-3,0,1,0.5,2
0,0,-0.6000000000000001,-0.19999999999999996,1.0,290.0,1,0,1,0.5,0
0,0,2.0,1.4,-1.7999999999999998,390.0,3,0,1,0.5,1
0,0,-1.0,-1.0,0.0,300.0,2,0,1,0.5,2
0,0,-0.8,-1.4,0.19999999999999996,-470.0,1,0,1,0.5,0
0,0,0.7999999999999999,0.19999999999999996,-1.6,-120.0,-2,0,1,0.5,1
0,0,0.8000000000000003,0.0,-0.7999999999999999,10.0,0,0,1,0.5,2
0,0,-0.6000000000000001,-0.6000000000000001,1.0,-550.0,-2,0,1,0.5,0
0,0,1.2,1.0000000000000002,-1.6,660.0,-1,0,1,0.5,2
0,0,-0.20000000000000018,0.5999999999999999,1.2,650.0,0,0,1,0.5,2
0,0,-1.0,0.6000000000000001,0.6000000000000001,30.0,0,0,1,0.5,2
0,0,0.19999999999999996,-0.3999999999999999,-0.8,390.0,-1,0,1,0.5,2
0,0,-0.6000000000000001,-0.20000000000000018,0.4,-90.0,-2,0,1,0.5,2
0,0,0.6,0.4,-0.8,280.0,-1,0,1,0.5,2
0,0,-1.2,-0.8,0.19999999999999996,-110.0,-1,0,1,0.5,1
0,0,0.0,-0.3999999999999999,0.40000000000000013,-850.0,3,0,1,0.5,0
0,0,-1.2,-1.4000000000000001,0.3999999999999999,-580.0,0,0,1,0.5,0
0,0,0.0,1.0,0.9999999999999999,-160.0,1,0,1,0.5,2
0,0,-0.20000000000000018,0.0,0.0,80.0,2,0,1,0.5,1
0,0,-0.8,-0.19999999999999996,1.2,30.0,0,0,1,0.5,2
0,0,0.3999999999999999,0.8000000000000003,-0.3999999999999999,920.0,0,0,1,0.5,2
0,0,1.2000000000000002,-0.19999999999999996,-1.0,-300.0,0,0,1,0.5,2
0,0,-0.8,-0.40000000000000013,1.2000000000000002,-780.0,-1,0,1,0.5,0
0,0,0.0,0.40000000000000013,-0.19999999999999996,130.0,3,0,1,0.5,0
0,0,0.0,-0.40000000000000013,-0.8,190.0,1,0,1,0.5,0
0,0,0.0,-0.3999999999999999,-0.19999999999999996,50.0,-1,0,1,0.5,0
0,0,0.6000000000000001,0.7999999999999999,-0.3999999999999999,-240.0,1,0,1,0.5,2
0,0,-0.20000000000000018,1.0,1.0,870.0,1,0,1,0.5,0
0,0,0.19999999999999996,-0.19999999999999996,-0.8,310.0,2,0,1,0.5,2
0,0,0.19999999999999996,-0.40000000000000013,0.20000000000000018,240.0,-1,0,1,0.5,2
0,0,0.19999999999999996,0.40000000000000013,0.0,-510.0,0,0,1,0.5,2
0,0,1.6,1.8,-0.6000000000000001,-20.0,-3,0,1,0.5,2
0,0,-0.3999999999999999,-0.7999999999999998,0.4,-620.0,2,0,1,0.5,2
0,0,1.0,0.19999999999999996,-0.9999999999999999,690.0,-1,0,1,0.5,2
0,0,-0.4,-0.4,-0.19999999999999996,130.0,-1,0,1,0.5,0
0,0,-0.6000000000000001,-1.0,0.0,-430.0,-5,0,1,0.5,0
0,0,0.20000000000000018,0.3999999999999999,0.19999999999999996,270.0,0,0,1,0.5,2
0,0,-0.40000000000000013,-0.19999999999999996,0.20000000000000018,20.0,-1,0,1,0.5,2
0,0,-1.2000000000000002,0.20000000000000018,1.6,-870.0,2,0,1,0.5,0
0,0,0.19999999999999996,0.19999999999999996,0.0,-40.0,-2,0,1,0.5,2
0,0,-2.1999999999999997,-2.0,0.40000000000000013,-360.0,1,0,1,0.5,1
0,0,0.40000000000000013,0.19999999999999996,-0.40000000000000013,-180.0,2,0,1,0.5,0
0,0,-2.0,-0.40000000000000013,1.2,280.0,1,0,1,0.5,2
0,0,-1.2,-0.6,0.8,-190.0,0,0,1,0.5,2
0,0,0.19999999999999996,-0.19999999999999996,-0.6,910.0,0,0,1,0.5,2
0,0,1.2,0.3999999999999999,-1.0,-260.0,2,0,1,0.5,1
0,0,-0.6000000000000001,-0.8000000000000003,-0.6000000000000001,40.0,3,0,1,0.5,1
0,0,0.4,-0.3999999999999999,-0.19999999999999996,0.0,0,0,1,0.5,2
0,0,-0.3999999999999999,-0.3999999999999999,-0.6000000000000001,210.0,-1,0,1,0.5,2
0,0,-1.0,-0.40000000000000013,0.6000000000000001,-1040.0,1,0,1,0.5,1
0,0,1.4,0.8,-0.8,570.0,1,0,1,0.5,2
0,0,0.7999999999999998,-0.6000000000000001,-0.8,290.0,2,0,1,0.5,2
0,0,-0.6000000000000001,-0.6000000000000001,0.0,-60.0,-1,0,1,0.5,1
0,0,0.6000000000000001,0.20000000000000018,-0.40000000000000013,-240.0,1,0,1,0.5,2
0,0,-0.6000000000000001,-0.6,0.0,150.0,0,0,1,0.5,2
0,0,1.7999999999999998,0.8000000000000003,-1.2000000000000002,340.0,-3,0,1,0.5,2
0,0,-1.2,-0.3999999999999999,1.2000000000000002,-700.0,0,0,1,0.5,0
0,0,0.19999999999999996,0.40000000000000013,0.40000000000000013,-110.0,-2,0,1,0.5,1
0,0,-0.19999999999999996,0.0,0.0,80.0,0,0,1,0.5,2
0,0,-1.0,-0.3999999999999999,0.40000000000000013,260.0,-2,0,1,0.5,2
0,0,-0.20000000000000007,0.19999999999999996,0.0,550.0,0,0,1,0.5,0
0,0,-0.8,-0.6,1.2,-50.0,0,0,1,0.5,0
0,0,-1.2,-0.40000000000000013,1.4,-610.0,2,0,1,0.5,2
0,0,-1.7999999999999998,-1.0,1.4000000000000001,-420.0,1,0,1,0.5,0
0,0,1.2000000000000002,0.0,-0.7999999999999999,350.0,-4,0,1,0.5,2
0,0,0.8000000000000003,1.4,0.0,390.0,2,0,1,0.5,0
0,0,0.6000000000000001,-0.20000000000000018,-1.4,-270.0,2,0,1,0.5,2
0,0,0.6000000000000001,0.40000000000000013,-0.40000000000000013,160.0,0,0,1,0.5,2
0,0,1.2000000000000002,1.0,-1.4000000000000001,1040.0,-3,0,1,0.5,2
0,0,0.19999999999999996,-0.5999999999999999,-0.8,-310.0,-2,0,1,0.5,0
0,0,-0.3999999999999999,0.3999999999999999,0.8,430.0,5,0,1,0.5,0
0,0,0.0,-0.6000000000000001,-0.8,-300.0,0,0,1,0.5,0
0,0,2.4,1.4,-1.8,260.0,0,0,1,0.5,2
0,0,-0.6000000000000001,-0.19999999999999996,0.40000000000000013,-120.0,0,0,1,0.5,0
