home_team,away_team,raw_home_xg,raw_away_xg,clipped_home_xg,clipped_away_xg,final_home_xg,final_away_xg,home_clipped,away_clipped,actual_home_score,actual_away_score,match_status
Algeria,Austria,1.4457993507385254,1.2181079387664795,1.4457993507385254,1.2181079387664795,1.4458,1.2181,False,False,,,TIMED
Jordan,Argentina,0.8264846801757812,2.1780638694763184,0.8264846801757812,2.1780638694763184,0.8265,2.1781,False,False,,,TIMED
Congo DR,Uzbekistan,1.1109509468078613,1.3087221384048462,1.1109509468078613,1.3087221384048462,1.111,1.3087,False,False,,,TIMED
Colombia,Portugal,1.1084650754928589,1.5698699951171875,1.1084650754928589,1.5698699951171875,1.1085,1.5699,False,False,,,TIMED
Croatia,Ghana,1.1316720247268677,0.23465976119041443,1.1316720247268677,0.23465976119041443,1.1317,0.2347,False,False,,,TIMED
Panama,England,0.4512939155101776,1.836581826210022,0.4512939155101776,1.836581826210022,0.4513,1.8366,False,False,,,TIMED
Egypt,Iran,0.7103895545005798,1.5002567768096924,0.7103895545005798,1.5002567768096924,0.7104,1.5003,False,False,,,TIMED
New Zealand,Belgium,1.138437032699585,0.9705711603164673,1.138437032699585,0.9705711603164673,1.1384,0.9706,False,False,,,TIMED
Uruguay,Spain,0.8286426067352295,1.8525757789611816,0.8286426067352295,1.8525757789611816,0.8286,1.8526,False,False,,,TIMED
Cape Verde Islands,Saudi Arabia,0.5054150819778442,1.0941466093063354,0.5054150819778442,1.0941466093063354,0.5054,1.0941,False,False,,,TIMED
Senegal,Iraq,1.784996747970581,0.6748332381248474,1.784996747970581,0.6748332381248474,1.785,0.6748,False,False,,,TIMED
Norway,France,1.0390459299087524,1.1385762691497803,1.0390459299087524,1.1385762691497803,1.039,1.1386,False,False,,,TIMED
Paraguay,Australia,1.120144009590149,1.0092345476150513,1.120144009590149,1.0092345476150513,1.1201,1.0092,False,False,,,TIMED
Turkey,United States,1.0994409322738647,1.0068466663360596,1.0994409322738647,1.0068466663360596,1.0994,1.0068,False,False,,,TIMED
Japan,Sweden,3.439235210418701,1.2112009525299072,3.439235210418701,1.2112009525299072,3.4392,1.2112,False,False,,,TIMED
Tunisia,Netherlands,0.629043459892273,1.715805172920227,0.629043459892273,1.715805172920227,0.629,1.7158,False,False,,,TIMED
